"subject","task","congurancy","block","trial","accuracy","rt"
"subj001","ink_naming","congruent",2,11,1,1091
"subj001","word_reading","incongruent",2,12,1,734
"subj001","word_reading","incongruent",2,13,1,581
"subj001","word_reading","congruent",2,14,1,613
"subj001","ink_naming","congruent",2,15,1,984
"subj001","ink_naming","incongruent",2,16,1,1405
"subj001","ink_naming","congruent",2,17,1,814
"subj001","ink_naming","congruent",2,18,1,1113
"subj001","word_reading","congruent",2,19,1,647
"subj001","ink_naming","congruent",2,20,1,1167
"subj001","ink_naming","incongruent",2,21,1,1036
"subj001","ink_naming","congruent",2,22,1,1014
"subj001","word_reading","congruent",2,23,1,590
"subj001","ink_naming","congruent",2,24,1,1090
"subj001","word_reading","congruent",2,25,1,848
"subj001","ink_naming","incongruent",2,26,1,1345
"subj001","word_reading","incongruent",2,27,1,800
"subj001","word_reading","congruent",2,28,1,884
"subj001","word_reading","incongruent",2,29,1,845
"subj001","word_reading","incongruent",2,30,1,707
"subj001","ink_naming","incongruent",2,32,1,1053
"subj001","word_reading","congruent",2,33,1,681
"subj001","word_reading","incongruent",2,34,1,842
"subj001","ink_naming","incongruent",2,35,1,1204
"subj001","ink_naming","incongruent",2,36,1,1196
"subj001","word_reading","congruent",2,37,1,596
"subj001","word_reading","congruent",2,38,1,640
"subj001","ink_naming","congruent",2,40,1,1040
"subj001","ink_naming","incongruent",2,41,1,1051
"subj001","ink_naming","incongruent",2,42,1,1206
"subj001","ink_naming","congruent",2,43,1,888
"subj001","ink_naming","incongruent",2,44,1,1333
"subj001","word_reading","incongruent",2,45,1,766
"subj001","ink_naming","congruent",2,46,1,930
"subj001","ink_naming","congruent",2,47,1,1024
"subj001","ink_naming","incongruent",2,48,1,1115
"subj001","word_reading","congruent",2,49,1,737
"subj001","word_reading","congruent",2,50,1,724
"subj001","ink_naming","congruent",3,1,1,899
"subj001","ink_naming","incongruent",3,3,1,1180
"subj001","ink_naming","congruent",3,4,1,1164
"subj001","word_reading","incongruent",3,5,1,828
"subj001","ink_naming","incongruent",3,6,1,1088
"subj001","ink_naming","congruent",3,7,1,1083
"subj001","word_reading","congruent",3,8,1,695
"subj001","word_reading","congruent",3,9,1,730
"subj001","word_reading","incongruent",3,10,1,746
"subj001","word_reading","incongruent",3,11,1,978
"subj001","ink_naming","incongruent",3,12,1,1031
"subj001","word_reading","incongruent",3,13,1,730
"subj001","word_reading","congruent",3,14,1,522
"subj001","ink_naming","congruent",3,15,1,1059
"subj001","ink_naming","incongruent",3,16,0,1260
"subj001","ink_naming","incongruent",3,17,1,1295
"subj001","word_reading","incongruent",3,18,1,527
"subj001","word_reading","congruent",3,19,1,741
"subj001","ink_naming","incongruent",3,20,1,1309
"subj001","ink_naming","congruent",3,21,1,959
"subj001","word_reading","congruent",3,23,1,696
"subj001","word_reading","congruent",3,24,1,737
"subj001","word_reading","congruent",3,25,1,767
"subj001","ink_naming","incongruent",3,26,1,1282
"subj001","ink_naming","incongruent",3,27,1,1140
"subj001","word_reading","congruent",3,28,1,720
"subj001","ink_naming","congruent",3,29,1,1249
"subj001","ink_naming","congruent",3,30,1,1043
"subj001","word_reading","incongruent",3,31,1,739
"subj001","word_reading","congruent",3,32,1,566
"subj001","ink_naming","incongruent",3,33,1,1150
"subj001","ink_naming","incongruent",3,34,1,1128
"subj001","ink_naming","incongruent",3,35,0,1149
"subj001","word_reading","incongruent",3,36,1,662
"subj001","ink_naming","incongruent",3,37,1,1081
"subj001","ink_naming","incongruent",3,38,1,1078
"subj001","word_reading","congruent",3,40,1,837
"subj001","word_reading","incongruent",3,41,1,825
"subj001","word_reading","incongruent",3,42,1,684
"subj001","ink_naming","congruent",3,44,1,916
"subj001","ink_naming","incongruent",3,45,1,1104
"subj001","ink_naming","incongruent",3,46,1,1160
"subj001","ink_naming","incongruent",3,47,1,1084
"subj001","ink_naming","incongruent",3,50,1,1029
"subj001","word_reading","congruent",4,1,1,686
"subj001","ink_naming","incongruent",4,2,1,1049
"subj001","word_reading","congruent",4,3,0,716
"subj001","word_reading","incongruent",4,4,1,743
"subj001","ink_naming","congruent",4,5,1,1036
"subj001","word_reading","congruent",4,6,0,538
"subj001","word_reading","congruent",4,7,1,722
"subj001","word_reading","congruent",4,8,1,731
"subj001","ink_naming","congruent",4,9,1,858
"subj001","word_reading","congruent",4,10,1,796
"subj001","word_reading","congruent",4,11,1,778
"subj001","ink_naming","incongruent",4,13,1,1166
"subj001","ink_naming","incongruent",4,14,1,1155
"subj001","word_reading","congruent",4,15,1,710
"subj001","word_reading","incongruent",4,16,1,727
"subj001","word_reading","congruent",4,17,1,515
"subj001","word_reading","congruent",4,18,1,533
"subj001","ink_naming","incongruent",4,19,1,1142
"subj001","ink_naming","congruent",4,20,1,942
"subj001","ink_naming","incongruent",4,21,1,1155
"subj001","word_reading","incongruent",4,22,1,509
"subj001","word_reading","incongruent",4,23,1,570
"subj001","word_reading","incongruent",4,24,1,610
"subj001","ink_naming","congruent",4,25,1,1099
"subj001","word_reading","congruent",4,26,1,590
"subj001","word_reading","congruent",4,27,1,620
"subj001","word_reading","incongruent",4,28,1,728
"subj001","word_reading","incongruent",4,29,1,688
"subj001","ink_naming","incongruent",4,30,1,1165
"subj001","word_reading","incongruent",4,31,1,951
"subj001","ink_naming","congruent",4,32,1,888
"subj001","word_reading","congruent",4,33,1,669
"subj001","ink_naming","congruent",4,34,1,948
"subj001","word_reading","congruent",4,35,1,851
"subj001","ink_naming","incongruent",4,36,1,1073
"subj001","ink_naming","incongruent",4,37,1,1142
"subj001","ink_naming","congruent",4,38,1,1079
"subj001","word_reading","congruent",4,39,1,594
"subj001","ink_naming","incongruent",4,40,1,1316
"subj001","word_reading","incongruent",4,41,1,788
"subj001","ink_naming","congruent",4,42,1,893
"subj001","word_reading","congruent",4,43,1,745
"subj001","word_reading","incongruent",4,44,1,699
"subj001","word_reading","incongruent",4,45,1,751
"subj001","word_reading","congruent",4,46,1,691
"subj001","word_reading","congruent",4,47,1,807
"subj001","word_reading","incongruent",4,48,1,585
"subj001","ink_naming","congruent",4,49,1,948
"subj001","word_reading","incongruent",4,50,1,695
"subj001","ink_naming","incongruent",5,1,1,1050
"subj001","ink_naming","incongruent",5,2,1,1046
"subj001","word_reading","incongruent",5,3,1,718
"subj001","ink_naming","congruent",5,4,1,987
"subj001","word_reading","incongruent",5,6,1,824
"subj001","ink_naming","incongruent",5,7,1,1175
"subj001","word_reading","congruent",5,8,1,942
"subj001","word_reading","incongruent",5,9,1,789
"subj001","word_reading","incongruent",5,10,1,675
"subj001","word_reading","incongruent",5,11,1,1000
"subj001","word_reading","congruent",5,12,1,983
"subj001","ink_naming","congruent",5,13,1,878
"subj001","word_reading","incongruent",5,14,1,767
"subj001","word_reading","incongruent",5,15,1,699
"subj001","ink_naming","incongruent",5,17,1,1173
"subj001","ink_naming","congruent",5,18,1,874
"subj001","ink_naming","incongruent",5,19,1,1179
"subj001","word_reading","congruent",5,20,1,875
"subj001","word_reading","incongruent",5,21,1,704
"subj001","word_reading","congruent",5,22,1,684
"subj001","ink_naming","congruent",5,23,1,1140
"subj001","word_reading","congruent",5,24,1,790
"subj001","word_reading","incongruent",5,25,1,555
"subj001","ink_naming","incongruent",5,26,1,1173
"subj001","ink_naming","congruent",5,27,1,1165
"subj001","ink_naming","congruent",5,28,1,1142
"subj001","ink_naming","incongruent",5,29,1,1192
"subj001","word_reading","congruent",5,30,1,772
"subj001","ink_naming","congruent",5,31,1,880
"subj001","ink_naming","incongruent",5,32,1,1180
"subj001","word_reading","incongruent",5,35,1,814
"subj001","word_reading","incongruent",5,36,1,606
"subj001","word_reading","incongruent",5,37,1,747
"subj001","ink_naming","incongruent",5,38,1,1193
"subj001","word_reading","incongruent",5,39,1,725
"subj001","ink_naming","congruent",5,40,1,1182
"subj001","ink_naming","congruent",5,41,1,898
"subj001","ink_naming","incongruent",5,42,1,1211
"subj001","ink_naming","congruent",5,43,1,991
"subj001","word_reading","incongruent",5,44,1,694
"subj001","word_reading","congruent",5,45,1,746
"subj001","ink_naming","congruent",5,46,1,898
"subj001","ink_naming","congruent",5,47,1,869
"subj001","word_reading","incongruent",5,48,1,671
"subj001","word_reading","incongruent",5,49,1,895
"subj001","ink_naming","incongruent",5,50,0,1156
"subj001","ink_naming","congruent",6,1,1,1033
"subj001","word_reading","incongruent",6,2,1,701
"subj001","ink_naming","incongruent",6,3,1,1197
"subj001","ink_naming","congruent",6,4,1,905
"subj001","ink_naming","congruent",6,6,1,1058
"subj001","word_reading","congruent",6,7,1,619
"subj001","word_reading","congruent",6,8,1,705
"subj001","ink_naming","incongruent",6,9,1,1222
"subj001","ink_naming","congruent",6,10,1,1056
"subj001","word_reading","incongruent",6,11,1,868
"subj001","ink_naming","incongruent",6,12,1,1089
"subj001","word_reading","incongruent",6,13,1,832
"subj001","word_reading","congruent",6,14,1,804
"subj001","ink_naming","incongruent",6,15,1,1134
"subj001","word_reading","congruent",6,16,1,602
"subj001","ink_naming","incongruent",6,17,1,1041
"subj001","word_reading","congruent",6,18,1,746
"subj001","ink_naming","congruent",6,19,0,993
"subj001","ink_naming","congruent",6,20,1,1178
"subj001","ink_naming","congruent",6,22,1,963
"subj001","ink_naming","incongruent",6,24,1,1092
"subj001","ink_naming","congruent",6,25,1,1034
"subj001","ink_naming","incongruent",6,26,1,1105
"subj001","ink_naming","congruent",6,27,1,1051
"subj001","word_reading","congruent",6,29,1,689
"subj001","ink_naming","congruent",6,30,1,927
"subj001","ink_naming","incongruent",6,32,1,1183
"subj001","word_reading","congruent",6,33,1,723
"subj001","ink_naming","congruent",6,34,1,831
"subj001","word_reading","congruent",6,35,1,766
"subj001","ink_naming","incongruent",6,36,1,1048
"subj001","word_reading","incongruent",6,37,1,385
"subj001","word_reading","incongruent",6,38,1,1702
"subj001","ink_naming","congruent",6,39,1,955
"subj001","word_reading","incongruent",6,40,1,545
"subj001","ink_naming","congruent",6,41,1,347
"subj001","ink_naming","congruent",6,42,1,762
"subj001","ink_naming","congruent",6,43,1,1057
"subj001","ink_naming","congruent",6,44,1,1102
"subj001","word_reading","congruent",6,45,1,637
"subj001","ink_naming","incongruent",6,46,1,1194
"subj001","ink_naming","incongruent",6,48,1,1254
"subj001","word_reading","congruent",6,49,1,748
"subj001","ink_naming","congruent",6,50,1,976
"subj001","ink_naming","incongruent",7,1,1,1242
"subj001","ink_naming","incongruent",7,2,1,332
"subj001","ink_naming","congruent",7,3,1,906
"subj001","ink_naming","incongruent",7,4,1,1010
"subj001","ink_naming","congruent",7,5,1,1016
"subj001","ink_naming","congruent",7,6,1,973
"subj001","ink_naming","incongruent",7,7,1,1051
"subj001","word_reading","congruent",7,8,1,708
"subj001","ink_naming","congruent",7,9,0,868
"subj001","word_reading","congruent",7,10,1,716
"subj001","ink_naming","congruent",7,12,1,1096
"subj001","ink_naming","incongruent",7,13,1,1392
"subj001","ink_naming","congruent",7,14,1,908
"subj001","word_reading","incongruent",7,15,1,826
"subj001","ink_naming","incongruent",7,17,1,1143
"subj001","ink_naming","incongruent",7,18,1,1105
"subj001","word_reading","congruent",7,19,1,858
"subj001","ink_naming","congruent",7,20,1,799
"subj001","ink_naming","congruent",7,21,1,936
"subj001","word_reading","incongruent",7,22,1,576
"subj001","ink_naming","congruent",7,23,1,1140
"subj001","ink_naming","congruent",7,24,1,981
"subj001","word_reading","incongruent",7,25,1,668
"subj001","word_reading","congruent",7,26,1,1018
"subj001","ink_naming","congruent",7,27,1,995
"subj001","ink_naming","incongruent",7,28,1,1106
"subj001","ink_naming","congruent",7,29,1,1030
"subj001","ink_naming","incongruent",7,30,1,993
"subj001","word_reading","incongruent",7,31,1,769
"subj001","ink_naming","incongruent",7,32,1,1140
"subj001","ink_naming","congruent",7,33,1,1047
"subj001","ink_naming","congruent",7,34,1,902
"subj001","ink_naming","congruent",7,35,1,898
"subj001","ink_naming","congruent",7,36,1,931
"subj001","word_reading","incongruent",7,37,1,643
"subj001","word_reading","congruent",7,38,1,830
"subj001","ink_naming","congruent",7,39,1,1158
"subj001","ink_naming","congruent",7,40,1,984
"subj001","ink_naming","congruent",7,41,1,964
"subj001","ink_naming","incongruent",7,43,1,1157
"subj001","word_reading","congruent",7,44,0,710
"subj001","ink_naming","incongruent",7,45,1,1179
"subj001","word_reading","congruent",7,46,1,625
"subj001","ink_naming","congruent",7,47,1,915
"subj001","ink_naming","congruent",7,48,1,1120
"subj001","word_reading","incongruent",7,49,1,665
"subj001","ink_naming","congruent",7,50,1,1030
"subj001","ink_naming","congruent",8,1,1,994
"subj001","ink_naming","congruent",8,2,1,904
"subj001","word_reading","incongruent",8,3,1,779
"subj001","word_reading","congruent",8,4,1,717
"subj001","ink_naming","congruent",8,5,1,1140
"subj001","word_reading","incongruent",8,6,1,732
"subj001","word_reading","congruent",8,8,1,728
"subj001","word_reading","congruent",8,9,1,581
"subj001","word_reading","incongruent",8,10,1,636
"subj001","ink_naming","incongruent",8,11,1,1201
"subj001","ink_naming","congruent",8,12,1,967
"subj001","ink_naming","congruent",8,13,1,993
"subj001","ink_naming","congruent",8,14,1,988
"subj001","ink_naming","incongruent",8,15,1,1085
"subj001","ink_naming","congruent",8,16,1,798
"subj001","ink_naming","incongruent",8,17,1,303
"subj001","ink_naming","congruent",8,18,1,1076
"subj001","ink_naming","congruent",8,20,0,1148
"subj001","word_reading","congruent",8,21,1,739
"subj001","word_reading","congruent",8,22,1,834
"subj001","ink_naming","incongruent",8,23,1,1054
"subj001","ink_naming","incongruent",8,24,1,1167
"subj001","ink_naming","congruent",8,25,1,990
"subj001","word_reading","congruent",8,26,1,777
"subj001","word_reading","incongruent",8,27,1,662
"subj001","ink_naming","congruent",8,28,1,999
"subj001","ink_naming","congruent",8,29,1,822
"subj001","ink_naming","incongruent",8,30,1,1072
"subj001","ink_naming","congruent",8,31,1,1013
"subj001","ink_naming","incongruent",8,32,1,1079
"subj001","ink_naming","incongruent",8,33,1,1146
"subj001","ink_naming","incongruent",8,34,1,1103
"subj001","ink_naming","incongruent",8,35,1,1211
"subj001","word_reading","incongruent",8,37,1,638
"subj001","word_reading","incongruent",8,38,1,689
"subj001","word_reading","incongruent",8,39,1,864
"subj001","word_reading","congruent",8,40,1,480
"subj001","word_reading","incongruent",8,41,1,688
"subj001","word_reading","congruent",8,42,1,906
"subj001","word_reading","congruent",8,43,1,919
"subj001","word_reading","congruent",8,44,1,716
"subj001","word_reading","congruent",8,46,1,717
"subj001","word_reading","congruent",8,47,1,635
"subj001","word_reading","congruent",8,48,1,845
"subj001","word_reading","incongruent",8,49,1,639
"subj001","ink_naming","incongruent",8,50,1,1187
"subj002","word_reading","incongruent",1,1,1,622
"subj002","word_reading","incongruent",1,2,1,828
"subj002","word_reading","incongruent",1,4,1,433
"subj002","word_reading","incongruent",1,5,1,714
"subj002","ink_naming","incongruent",1,6,1,1204
"subj002","word_reading","incongruent",1,7,1,886
"subj002","word_reading","congruent",1,8,1,560
"subj002","word_reading","incongruent",1,9,1,699
"subj002","ink_naming","congruent",1,10,1,791
"subj002","word_reading","congruent",1,11,1,749
"subj002","ink_naming","congruent",1,12,1,1121
"subj002","word_reading","congruent",1,13,0,710
"subj002","word_reading","congruent",1,14,1,771
"subj002","ink_naming","incongruent",1,15,1,1058
"subj002","ink_naming","congruent",1,16,1,1110
"subj002","word_reading","congruent",1,17,1,696
"subj002","ink_naming","congruent",1,18,1,1020
"subj002","word_reading","congruent",1,19,1,707
"subj002","ink_naming","congruent",1,20,1,1047
"subj002","ink_naming","congruent",1,21,1,1048
"subj002","ink_naming","incongruent",1,22,1,1234
"subj002","ink_naming","congruent",1,23,1,1081
"subj002","ink_naming","incongruent",1,24,1,1306
"subj002","ink_naming","incongruent",1,25,1,1223
"subj002","word_reading","congruent",1,26,1,369
"subj002","ink_naming","incongruent",1,27,1,959
"subj002","word_reading","congruent",1,29,1,548
"subj002","ink_naming","incongruent",1,30,1,1256
"subj002","word_reading","congruent",1,31,1,594
"subj002","ink_naming","incongruent",1,32,1,1100
"subj002","word_reading","congruent",1,33,1,795
"subj002","ink_naming","congruent",1,34,1,905
"subj002","word_reading","congruent",1,35,1,757
"subj002","word_reading","incongruent",1,36,1,597
"subj002","word_reading","congruent",1,37,1,560
"subj002","ink_naming","congruent",1,38,1,1069
"subj002","ink_naming","incongruent",1,40,1,1159
"subj002","word_reading","congruent",1,41,1,612
"subj002","word_reading","congruent",1,42,1,735
"subj002","ink_naming","incongruent",1,43,1,1263
"subj002","word_reading","incongruent",1,44,1,704
"subj002","ink_naming","incongruent",1,45,1,383
"subj002","word_reading","congruent",1,46,1,785
"subj002","word_reading","incongruent",1,47,1,718
"subj002","word_reading","incongruent",1,48,1,742
"subj002","ink_naming","incongruent",1,49,1,1108
"subj002","ink_naming","congruent",1,50,1,933
"subj002","word_reading","congruent",2,1,1,672
"subj002","ink_naming","congruent",2,2,1,789
"subj002","word_reading","incongruent",2,3,1,742
"subj002","ink_naming","incongruent",2,5,1,1203
"subj002","word_reading","incongruent",2,6,1,866
"subj002","ink_naming","incongruent",2,7,1,1149
"subj002","ink_naming","congruent",2,8,1,804
"subj002","word_reading","incongruent",2,9,1,669
"subj002","word_reading","incongruent",2,10,1,663
"subj002","word_reading","incongruent",2,11,1,817
"subj002","ink_naming","congruent",2,12,1,1062
"subj002","word_reading","incongruent",2,13,1,889
"subj002","ink_naming","congruent",2,14,1,971
"subj002","word_reading","incongruent",2,15,1,802
"subj002","word_reading","incongruent",2,17,1,663
"subj002","ink_naming","incongruent",2,18,1,1191
"subj002","word_reading","incongruent",2,19,1,636
"subj002","word_reading","congruent",2,21,1,2874
"subj002","word_reading","incongruent",2,22,1,706
"subj002","ink_naming","congruent",2,23,1,927
"subj002","word_reading","congruent",2,24,1,599
"subj002","word_reading","congruent",2,25,1,452
"subj002","ink_naming","congruent",2,27,1,965
"subj002","word_reading","congruent",2,28,1,639
"subj002","word_reading","congruent",2,29,1,800
"subj002","ink_naming","congruent",2,31,1,997
"subj002","ink_naming","congruent",2,32,1,1019
"subj002","ink_naming","incongruent",2,33,1,1236
"subj002","ink_naming","congruent",2,34,1,1162
"subj002","word_reading","congruent",2,35,1,724
"subj002","word_reading","congruent",2,36,1,693
"subj002","ink_naming","incongruent",2,37,1,1160
"subj002","ink_naming","congruent",2,38,1,1018
"subj002","ink_naming","incongruent",2,39,1,1186
"subj002","ink_naming","incongruent",2,40,1,1079
"subj002","ink_naming","incongruent",2,41,1,1124
"subj002","word_reading","incongruent",2,42,1,548
"subj002","ink_naming","incongruent",2,43,1,1129
"subj002","word_reading","congruent",2,44,1,649
"subj002","ink_naming","incongruent",2,46,1,1145
"subj002","ink_naming","congruent",2,47,1,905
"subj002","ink_naming","incongruent",2,48,1,1097
"subj002","word_reading","congruent",2,49,1,666
"subj002","word_reading","congruent",3,1,1,799
"subj002","word_reading","incongruent",3,2,1,744
"subj002","word_reading","congruent",3,3,1,745
"subj002","ink_naming","incongruent",3,4,1,993
"subj002","word_reading","congruent",3,5,0,577
"subj002","word_reading","congruent",3,6,1,645
"subj002","ink_naming","incongruent",3,7,1,1276
"subj002","word_reading","congruent",3,8,1,663
"subj002","ink_naming","congruent",3,9,1,1115
"subj002","word_reading","congruent",3,11,1,682
"subj002","word_reading","congruent",3,12,1,630
"subj002","ink_naming","congruent",3,14,1,1060
"subj002","ink_naming","incongruent",3,15,1,1148
"subj002","word_reading","incongruent",3,16,1,735
"subj002","ink_naming","congruent",3,17,1,938
"subj002","word_reading","incongruent",3,18,1,907
"subj002","ink_naming","incongruent",3,19,1,1209
"subj002","word_reading","congruent",3,20,1,791
"subj002","ink_naming","congruent",3,21,1,900
"subj002","word_reading","congruent",3,22,1,545
"subj002","word_reading","incongruent",3,23,1,917
"subj002","ink_naming","congruent",3,24,1,1007
"subj002","word_reading","incongruent",3,25,0,665
"subj002","ink_naming","incongruent",3,26,1,1143
"subj002","word_reading","incongruent",3,29,1,791
"subj002","ink_naming","incongruent",3,30,1,1379
"subj002","word_reading","incongruent",3,31,1,585
"subj002","ink_naming","incongruent",3,32,1,1116
"subj002","ink_naming","congruent",3,33,0,1049
"subj002","word_reading","incongruent",3,34,1,886
"subj002","word_reading","incongruent",3,35,1,618
"subj002","word_reading","congruent",3,36,1,702
"subj002","ink_naming","congruent",3,37,1,961
"subj002","word_reading","congruent",3,38,1,543
"subj002","word_reading","incongruent",3,39,1,613
"subj002","word_reading","congruent",3,40,1,583
"subj002","ink_naming","incongruent",3,41,1,971
"subj002","word_reading","congruent",3,42,1,724
"subj002","word_reading","congruent",3,43,1,716
"subj002","ink_naming","incongruent",3,44,1,1223
"subj002","ink_naming","incongruent",3,45,1,1276
"subj002","word_reading","congruent",3,46,1,506
"subj002","word_reading","incongruent",3,47,0,678
"subj002","word_reading","incongruent",3,48,1,609
"subj002","ink_naming","congruent",3,49,1,1016
"subj002","word_reading","incongruent",3,50,1,818
"subj002","word_reading","incongruent",4,1,1,758
"subj002","ink_naming","congruent",4,2,1,992
"subj002","ink_naming","incongruent",4,4,0,1155
"subj002","word_reading","incongruent",4,5,1,805
"subj002","ink_naming","congruent",4,6,1,1091
"subj002","word_reading","congruent",4,7,0,739
"subj002","ink_naming","congruent",4,8,1,1112
"subj002","ink_naming","congruent",4,9,1,1005
"subj002","word_reading","incongruent",4,12,1,747
"subj002","word_reading","incongruent",4,13,1,539
"subj002","ink_naming","incongruent",4,14,1,1197
"subj002","ink_naming","congruent",4,15,1,763
"subj002","word_reading","incongruent",4,16,1,691
"subj002","ink_naming","congruent",4,17,1,1008
"subj002","word_reading","congruent",4,18,1,751
"subj002","word_reading","congruent",4,19,1,641
"subj002","ink_naming","incongruent",4,20,1,1094
"subj002","ink_naming","congruent",4,21,1,1005
"subj002","ink_naming","incongruent",4,23,1,1198
"subj002","word_reading","incongruent",4,24,1,774
"subj002","word_reading","incongruent",4,25,1,597
"subj002","ink_naming","congruent",4,27,1,1124
"subj002","word_reading","incongruent",4,28,1,669
"subj002","word_reading","congruent",4,29,1,637
"subj002","word_reading","incongruent",4,30,1,817
"subj002","word_reading","congruent",4,31,1,576
"subj002","ink_naming","incongruent",4,32,1,1110
"subj002","word_reading","incongruent",4,33,1,654
"subj002","word_reading","incongruent",4,34,1,570
"subj002","ink_naming","incongruent",4,35,1,1124
"subj002","ink_naming","congruent",4,36,1,1021
"subj002","ink_naming","congruent",4,37,1,933
"subj002","ink_naming","congruent",4,38,1,990
"subj002","word_reading","incongruent",4,39,1,764
"subj002","ink_naming","incongruent",4,40,1,1171
"subj002","word_reading","incongruent",4,41,1,665
"subj002","word_reading","congruent",4,42,1,618
"subj002","word_reading","congruent",4,43,1,739
"subj002","word_reading","congruent",4,44,1,794
"subj002","ink_naming","congruent",4,45,1,982
"subj002","ink_naming","congruent",4,46,1,896
"subj002","word_reading","congruent",4,47,1,466
"subj002","word_reading","incongruent",4,48,1,612
"subj002","word_reading","congruent",4,49,1,631
"subj002","ink_naming","congruent",4,50,1,1121
"subj002","ink_naming","incongruent",5,1,1,1168
"subj002","ink_naming","incongruent",5,2,1,1182
"subj002","ink_naming","congruent",5,3,1,1005
"subj002","word_reading","incongruent",5,4,1,643
"subj002","ink_naming","congruent",5,5,1,1050
"subj002","ink_naming","incongruent",5,6,1,1065
"subj002","word_reading","congruent",5,7,1,767
"subj002","word_reading","congruent",5,8,1,606
"subj002","ink_naming","congruent",5,9,1,1078
"subj002","word_reading","congruent",5,10,1,856
"subj002","word_reading","incongruent",5,11,1,598
"subj002","ink_naming","congruent",5,12,1,893
"subj002","ink_naming","incongruent",5,13,1,1243
"subj002","word_reading","incongruent",5,16,1,624
"subj002","word_reading","incongruent",5,17,1,769
"subj002","word_reading","congruent",5,18,1,834
"subj002","ink_naming","incongruent",5,19,1,1093
"subj002","word_reading","incongruent",5,20,1,732
"subj002","ink_naming","incongruent",5,21,1,1109
"subj002","word_reading","incongruent",5,22,1,799
"subj002","ink_naming","congruent",5,23,1,1007
"subj002","word_reading","incongruent",5,24,1,805
"subj002","word_reading","congruent",5,25,1,701
"subj002","ink_naming","incongruent",5,26,1,1173
"subj002","ink_naming","incongruent",5,27,1,1240
"subj002","ink_naming","incongruent",5,28,1,1078
"subj002","word_reading","incongruent",5,29,1,786
"subj002","ink_naming","incongruent",5,30,1,980
"subj002","word_reading","congruent",5,31,1,752
"subj002","word_reading","congruent",5,32,1,782
"subj002","word_reading","congruent",5,34,1,757
"subj002","ink_naming","congruent",5,35,1,1822
"subj002","word_reading","incongruent",5,36,1,584
"subj002","word_reading","congruent",5,37,1,715
"subj002","ink_naming","congruent",5,38,1,1068
"subj002","ink_naming","congruent",5,39,1,1070
"subj002","word_reading","congruent",5,40,1,671
"subj002","word_reading","incongruent",5,41,1,668
"subj002","ink_naming","incongruent",5,42,1,1083
"subj002","word_reading","congruent",5,43,1,564
"subj002","ink_naming","incongruent",5,44,1,1130
"subj002","word_reading","incongruent",5,46,0,950
"subj002","word_reading","congruent",5,47,1,624
"subj002","ink_naming","congruent",5,48,1,860
"subj002","ink_naming","congruent",5,49,1,1223
"subj002","word_reading","congruent",6,1,1,694
"subj002","ink_naming","congruent",6,3,1,1068
"subj002","word_reading","congruent",6,4,1,719
"subj002","word_reading","incongruent",6,5,1,840
"subj002","ink_naming","incongruent",6,6,1,1143
"subj002","word_reading","congruent",6,7,1,745
